group_ID,ecosystem,scoped,package_name,version,artifact_id,total_file,package_size,api_calls,function,threat_type
aiohttp_proxies_0.8.41_tar-gz,pypi,,aiohttp_proxies,0.8.41,tar-gz,13,1125.660156,['random.choice'],rand,malicious
libretranslatepy_2.1.3_py3-none-any-whl,pypi,,libretranslatepy,2.1.3,py3-none-any-whl,7,5.4453125,NaN,NaN,benign
libretranslatepy_2.1.3_tar-gz,pypi,,libretranslatepy,2.1.3,tar-gz,10,9.569335938,NaN,NaN,benign
django-dirtyfields_1.9.2_tar-gz,pypi,,django-dirtyfields,1.9.2,tar-gz,15,37.69433594,NaN,NaN,benign
aiohttp_proxies_0.8.43_tar-gz,pypi,,aiohttp_proxies,0.8.43,tar-gz,13,1125.833008,['random.choice'],rand,malicious
django-dirtyfields_1.9.2_py3-none-any-whl,pypi,,django-dirtyfields,1.9.2,py3-none-any-whl,8,18.34375,NaN,NaN,benign
torch-lr-finder_0.2.1_tar-gz,pypi,,torch-lr-finder,0.2.1,tar-gz,11,51.00292969,NaN,NaN,benign
torch-lr-finder_0.2.1_py3-none-any-whl,pypi,,torch-lr-finder,0.2.1,py3-none-any-whl,7,35.09570313,NaN,NaN,benign
aiohttp_proxies_0.8.42_tar-gz,pypi,,aiohttp_proxies,0.8.42,tar-gz,13,1125.671875,['random.choice'],rand,malicious
python-hcl2_4.3.2_tar-gz,pypi,,python-hcl2,4.3.2,tar-gz,38,55.03417969,NaN,NaN,benign
python-hcl2_4.3.2_py3-none-any-whl,pypi,,python-hcl2,4.3.2,py3-none-any-whl,14,25.71777344,NaN,NaN,benign
flake8-functions_0.0.8_py3-none-any-whl,pypi,,flake8-functions,0.0.8,py3-none-any-whl,12,12.72363281,NaN,NaN,benign
aiohttp_proxies_0.8.44_tar-gz,pypi,,aiohttp_proxies,0.8.44,tar-gz,13,1125.833008,['random.choice'],rand,malicious
flake8-functions_0.0.8_tar-gz,pypi,,flake8-functions,0.0.8,tar-gz,18,21.83496094,NaN,NaN,benign
tomesd_0.1.3_py3-none-any-whl,pypi,,tomesd,0.1.3,py3-none-any-whl,9,27.09179688,NaN,NaN,benign
tomesd_0.1.3_tar-gz,pypi,,tomesd,0.1.3,tar-gz,14,44.58203125,NaN,NaN,benign
